judge,scale,n,mean_norm,sd_norm,median_norm,iqr_norm,mean_raw,sd_raw
Claude-Sonnet,3,60,0.567,0.215,0.5,0.0,2.133,0.43
Claude-Sonnet,5,60,0.558,0.141,0.5,0.25,3.233,0.563
Claude-Sonnet,10,60,0.565,0.12,0.556,0.139,6.083,1.078
DeepSeek-V3,3,60,0.542,0.139,0.5,0.0,2.083,0.279
DeepSeek-V3,5,60,0.575,0.14,0.5,0.25,3.3,0.561
DeepSeek-V3,10,60,0.67,0.084,0.667,0.028,7.033,0.758
GPT-4o-mini,3,60,0.5,0.184,0.5,0.0,2.0,0.368
GPT-4o-mini,5,60,0.646,0.155,0.75,0.25,3.583,0.619
GPT-4o-mini,10,60,0.631,0.095,0.667,0.111,6.683,0.854
Llama-3.3-70B,3,60,0.508,0.065,0.5,0.0,2.017,0.129
Llama-3.3-70B,5,60,0.725,0.1,0.75,0.0,3.9,0.399
Llama-3.3-70B,10,60,0.707,0.087,0.778,0.111,7.367,0.78
Qwen3-32B,3,60,0.692,0.245,0.5,0.5,2.383,0.49
Qwen3-32B,5,60,0.667,0.119,0.75,0.25,3.667,0.475
Qwen3-32B,10,60,0.659,0.057,0.667,0.0,6.933,0.516
